COM16;           16               900
COM16;           16               1000
COM16;           16               1100
COM16;           16               1200
COM16;           16               1300
COM16;           16               1400
COM16;           16               1500
COM16;           16               1600
COM16;           16               1700
COM16;           16               1800
COM16;           16               1900
COM16;           16               2000
COM16;           16               2100
